stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,vehicle_type
0:PPAB,POLICE DES PARCELLES,,14.751047,-17.438791,2,0,1:PPA,,3
0:LI5A,LIBERTE 5,,14.7204903,-17.4644811,3,0,1:LI5,,3
0:LI1A,LIBERTE 1,,14.709367,-17.4618928,3,0,1:LI1,,3
0:GSUA,GOLF SUD,,14.7670441,-17.4141011,1,0,1:GSU,,3
0:LI1B,LIBERTE 1,,14.7099207,-17.4624958,3,0,1:LI1,,3
0:GSUB,GOLF SUD,,14.7675153,-17.413448,1,0,1:GSU,,3
0:GTAB,GUEULE TAPEE,,14.7755983,-17.392117,1,0,1:GTA,,3
0:FMIB,FITH MITH,,14.7753009,-17.4055147,1,0,1:FMI,,3
0:DDIB,DIAL DIOP,,14.6987219,-17.4530444,3,0,1:DDI,,3
0:SURB,SCAT URBAM,,14.7367452,-17.4553253,2,0,1:SUR,,3
0:LI5B,LIBERTE 5,,14.7210335,-17.4640333,3,0,1:LI5,,3
0:LI6A,LIBERTE 6,,14.7257136,-17.459661,3,0,1:LI6,,3
0:PEP,P.E DE PETERSEN,,14.6758557,-17.4413395,,0,1:PEP,1,3
0:PEM,P.E DE GRAND-MEDINE,,14.748164,-17.444944,,0,1:PEM,1,3
0:QPEM,POLE GRAND MEDINE,,14.748659,-17.4450632,,0,1:QPEM,,3
0:SACA,SACRÉ-CŒUR,,14.7168055,-17.4665012,3,0,1:SAC,,3
0:GNOB,GOLF NORD,,14.7762876,-17.3983817,1,0,1:GNO,,3
0:C22B,CROISEMENT 22,,14.7538705,-17.4333636,2,0,1:C22,,3
0:PARB,PARCELLES,,14.7624225,-17.4246749,1,0,1:PAR,,3
0:PLNA,PLACE DE LA NATION,,14.6958616,-17.4503181,3,0,1:PLN,,3
0:GMEA,GRAND MEDINE,,14.7478314,-17.4446399,2,0,1:GME,,3
0:PEG,P.E. DE GUEDIAWAYE,,14.7729105,-17.3871707,,0,1:PEG,1,3
