route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B2,0_1,0_11461991,PETERSEN,,5115,LB2P4
B2,0_1,0_11461990,PETERSEN,,5107,LB2P4
B1,0_1,0_11462009,POLE D'ECHANGE  DE GRAND MEDINE,,5068,LB1P17
B1,0_1,0_11462008,POLE D'ECHANGE  DE GRAND MEDINE,,5067,LB1P17
B2,0_1,0_11461987,PETERSEN,,5099,LB2P4
B2,0_2,0_21461768,GUEDIAWAYE,,5095,LB2P3
B2,0_1,0_11461986,PETERSEN,,5113,LB2P4
B2,0_2,0_21461771,GUEDIAWAYE,,5085,LB2P3
B2,0_1,0_11461989,PETERSEN,,5119,LB2P4
B2,0_2,0_21461770,GUEDIAWAYE,,5092,LB2P3
B2,0_2,0_21461738,GUEDIAWAYE,,5090,LB2P3
B2,0_1,0_11461988,PETERSEN,,5097,LB2P4
B1,0_1,0_11461658,PETERSEN,,5057,LB1P23
B1,0_1,0_11461661,PETERSEN,,5055,LB1P23
B1,0_1,0_11461660,PETERSEN,,5058,LB1P23
B2,0_1,0_11461940,PETERSEN,,5090,LB2P4
B1,0_1,0_11462011,POLE D'ECHANGE  DE GRAND MEDINE,,5070,LB1P17
B1,0_1,0_11462010,POLE D'ECHANGE  DE GRAND MEDINE,,5069,LB1P17
B1,0_1,0_11461455,GUEDIAWAYE,,5042,LB1P24
B2,0_1,0_11461741,GUEDIAWAYE,,5093,LB2P3
B1,0_1,0_11461470,GUEDIAWAYE,,5026,LB1P24
B1,0_1,0_11461457,GUEDIAWAYE,,5049,LB1P24
B1,0_1,0_11461456,GUEDIAWAYE,,5041,LB1P24
B1,0_1,0_11461459,GUEDIAWAYE,,5041,LB1P24
B2,0_1,0_11461943,PETERSEN,,5086,LB2P4
B1,0_1,0_11461471,GUEDIAWAYE,,5055,LB1P24
B2,0_1,0_11461815,GUEDIAWAYE,,5100,LB2P3
B2,0_2,0_21462019,GUEDIAWAYE,,5122,LB2P3
B2,0_1,0_11461814,GUEDIAWAYE,,5098,LB2P3
B2,0_2,0_21461845,GUEDIAWAYE,,5085,LB2P3
B2,0_1,0_11461769,GUEDIAWAYE,,5079,LB2P3
B2,0_2,0_21461844,GUEDIAWAYE,,5112,LB2P3
B2,0_1,0_11461768,GUEDIAWAYE,,5095,LB2P3
B2,0_2,0_21461847,GUEDIAWAYE,,5116,LB2P3
B2,0_2,0_21462017,GUEDIAWAYE,,5115,LB2P3
B2,0_1,0_11461812,GUEDIAWAYE,,5108,LB2P3
B2,0_2,0_21462016,GUEDIAWAYE,,5097,LB2P3
B2,0_2,0_21461802,GUEDIAWAYE,,5089,LB2P3
B2,0_2,0_21461805,GUEDIAWAYE,,5099,LB2P3
B2,0_2,0_21461804,GUEDIAWAYE,,5086,LB2P3
B2,0_2,0_21461807,GUEDIAWAYE,,5104,LB2P3
B2,0_1,0_11461771,GUEDIAWAYE,,5085,LB2P3
B2,0_2,0_21461846,GUEDIAWAYE,,5113,LB2P3
B2,0_1,0_11461770,GUEDIAWAYE,,5092,LB2P3
B2,0_2,0_21461801,GUEDIAWAYE,,5096,LB2P3
B2,0_1,0_11461738,GUEDIAWAYE,,5090,LB2P3
B2,0_2,0_21461800,GUEDIAWAYE,,5090,LB2P3
B2,0_2,0_21461803,GUEDIAWAYE,,5103,LB2P3
B2,0_2,0_21461794,GUEDIAWAYE,,5100,LB2P3
B2,0_2,0_21461797,GUEDIAWAYE,,5082,LB2P3
B2,0_2,0_21461796,GUEDIAWAYE,,5088,LB2P3
B2,0_2,0_21461799,GUEDIAWAYE,,5102,LB2P3
B2,0_2,0_21461806,GUEDIAWAYE,,5097,LB2P3
B2,0_2,0_21461793,GUEDIAWAYE,,5095,LB2P3
