route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-4:30:00 PM-e1dd8b8f-1e67-4b24-9086-575607eaca5f,Diamniadio,10056,1
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-3:42:00 PM-ab72afa4-c77b-dcfe-7b9b-b909797375a4,Diamniadio,10052,1
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-12:18:00 PM-bebd64da-81be-9881-f5d6-ebe249b6245c,Diamniadio,10035,1
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-11:54:00 AM-483c9987-70c9-4376-a4be-85fb95c21a02,Dakar - Gare ferroviaire,20033,0
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-2:30:00 PM-9d32aa3e-67fc-29c5-45a6-8109b48d4d4c,Diamniadio,10046,1
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-7:54:00 PM-61b69900-441a-c991-bd41-d1791c9a5728,Diamniadio,10073,1
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-5:06:00 PM-7a785daa-f3ad-94df-790c-5666fe2c8239,Dakar - Gare ferroviaire,20059,0
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-8:18:00 AM-dc45169c-dc02-6087-8831-2e06afc2e3af,Diamniadio,10015,1
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-7:06:00 AM-25096eb3-0836-7fd3-bc27-cb970b4a39af,Dakar - Gare ferroviaire,20009,0
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-2:54:00 PM-8cac5352-3d44-7682-7976-a98aacd2b53f,Diamniadio,10048,1
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-7:18:00 PM-1d8d734b-d11b-50d8-3136-b881498b10c2,Dakar - Gare ferroviaire,20070,0
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-4:30:00 PM-cdc970ce-045a-ad02-8999-87fc60585936,Dakar - Gare ferroviaire,20056,0
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-12:54:00 PM-53f3a98b-46f5-6b47-6620-fcfbc3621f2d,Diamniadio,10038,1
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-9:18:00 PM-13333814-e6e4-fb1f-f9da-87a8faeaf420,Diamniadio,10080,1
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-6:54:00 AM-06297f32-c0c8-2ce6-88c6-241c5765570e,Dakar - Gare ferroviaire,20008,0
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-1:42:00 PM-13f5e972-29eb-d788-d7ce-b7bc22072a59,Diamniadio,10042,1
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-7:30:00 AM-fff72a5b-4f07-bd46-72ea-dc466742da8b,Diamniadio,10011,1
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-6:42:00 PM-135fe255-285d-a787-a656-c72f1c16d305,Diamniadio,10067,1
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-5:54:00 PM-6a4f1a82-1d10-c564-9a24-0dea23eb1d4f,Diamniadio,10063,1
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-7:30:00 AM-2640d335-20a1-c3e3-3a93-b2d86f93222c,Dakar - Gare ferroviaire,20011,0
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-7:18:00 AM-871a0bae-ed7d-909a-5f75-1fcacb704aac,Diamniadio,10010,1
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-7:42:00 AM-bdaaade6-04cc-b28e-aa9b-769adfefe9ef,Diamniadio,10012,1
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-9:42:00 AM-1b4e5298-fb8a-fead-d736-42b439e238d6,Dakar - Gare ferroviaire,20022,0
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-12:54:00 PM-58d96eb7-ad09-7daf-6529-7ed48633787a,Dakar - Gare ferroviaire,20038,0
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-5:54:00 AM-01fdc6b6-1522-8aa3-5f25-7fbcf47025c3,Diamniadio,10003,1
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-11:42:00 AM-b578ca7a-52db-5ddf-5e35-6f34239e24fc,Diamniadio,10032,1
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,fa54f07d-702e-e4cc-6400-6efff8c64d25,2025-35-8:06:00 PM-c6aebb00-4a6b-8d1b-471f-c6d0d58262b9,Dakar - Gare ferroviaire,20074,0
4445e51b-971b-4f1a-a94a-1ca0c9bef411-544a27a5-c6c6-4b70-b217-9c15d9b4278a,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-2:54:00 PM-8b77441c-ffee-517b-d612-ca0065bf559c,Dakar - Gare ferroviaire,20048,0
544a27a5-c6c6-4b70-b217-9c15d9b4278a-4445e51b-971b-4f1a-a94a-1ca0c9bef411,38f23463-d512-5c3f-6ed7-33132080f1e8,2025-35-6:30:00 AM-8adaaac2-d76d-aae9-2cff-8b4f310189e8,Diamniadio,10006,1
